Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
43530 ,Curran Materials DeKalb IL Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,13,-,-,-,-,aberta,HMA,143-154,-,-,-,-,"33,83","2,23","21,41","57,47",623,30,367,1020,1744,N/A,N/A,1744,119,N/A,0,119,https://asphaltepd.org/epd/d/rQUDyB/
43540 ,Curran Materials DeKalb IL Plant ,Unmodified,3,64-22,26,-,-,-,-,aberta,HMA,146-154,-,-,3,-,"21,12","1,68","21,41","44,21",398,22,367,787,1276,N/A,N/A,1276,254,N/A,0,254,https://asphaltepd.org/epd/d/aRUb5o/
43560 ,Curran Materials DeKalb IL Plant ,Unmodified,4,64-22,28,-,-,-,-,densa,HMA,146-154,-,-,3,-,"22,07","1,59","21,41","45,06",416,21,367,804,1339,N/A,N/A,1339,277,N/A,0,277,https://asphaltepd.org/epd/d/E3Ud2e/
43580 ,Curran Materials DeKalb IL Plant ,Unmodified,4,58-28,29,-,-,-,-,densa,HMA,146-154,-,-,3,-,"24,91","1,65","21,41","47,97",471,22,367,860,1525,N/A,N/A,1525,286,N/A,0,286,https://asphaltepd.org/epd/d/GZUqBM/
44820 ,Curran Materials DeKalb IL Plant ,Unmodified,5,58-28,32,-,-,-,-,densa,HMA,146-154,-,-,4,-,"28,90","1,56","21,41","51,87",548,21,367,936,1785,N/A,N/A,1785,319,N/A,0,319,https://asphaltepd.org/epd/d/gGU5Pb/
45040 ,Curran Materials DeKalb IL Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,21,-,-,-,-,densa,HMA,146-154,-,-,-,-,"37,94","1,84","21,41","61,18",699,24,367,1091,1971,N/A,N/A,1971,191,N/A,0,191,https://asphaltepd.org/epd/d/OPUavp/
45090 ,Curran Materials DeKalb IL Plant ,Unmodified,4,64-22,29,-,-,-,-,aberta,HMA,143-154,-,-,3,-,"24,00","1,65","21,41","47,06",453,22,367,842,1465,N/A,N/A,1465,293,N/A,0,293,https://asphaltepd.org/epd/d/KoUa15/
45120 ,Curran Materials DeKalb IL Plant ,Unmodified,4,64-22,28,-,-,-,-,aberta,HMA,143-154,-,-,2,-,"24,93","1,77","21,41","48,11",471,24,367,862,1525,N/A,N/A,1525,274,N/A,0,274,https://asphaltepd.org/epd/d/1AU2v6/
45160 ,Curran Materials DeKalb IL Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-28,15,-,-,-,-,aberta,HMA,143-154,-,-,-,-,"37,32","2,17","21,41","60,89",688,29,367,1084,1934,N/A,N/A,1934,132,N/A,0,132,https://asphaltepd.org/epd/d/XZUDpR/
45190 ,Curran Materials DeKalb IL Plant ,SBS modified - 3.5% styrene-butadiene-styrene,5,76-22,20,-,-,-,-,aberta,HMA,146-152,-,-,2,-,"33,18","1,87","21,41","56,45",609,25,367,1001,1711,N/A,N/A,1711,201,N/A,0,201,https://asphaltepd.org/epd/d/QVU6jy/
